,Unnamed: 0.1,Unnamed: 0.1.1,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,Wine,N,Expect,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,Scalar_calc
0,37,153,-0.3842105263157896,-0.0948616600790512,0.0267379679144383,-0.1340206185567009,-0.4347826086956522,-0.8137931034482758,-0.9367088607594936,0.0188679245283018,-0.7981072555205047,-0.279863481228669,-0.7073170731707317,-0.5897435897435896,-0.6690442225392297,3,170,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.89037803066972
1,5,121,-0.2210526315789472,-0.8023715415019763,-0.0481283422459893,-0.2886597938144328,-0.6739130434782609,-0.2965517241379309,-0.8987341772151899,0.7735849056603772,-0.4700315457413249,-0.2883959044368601,-0.5609756097560975,-0.8241758241758241,-0.4693295292439372,3,135,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.58838818477871
2,1,117,-0.036842105263158,-0.758893280632411,0.0267379679144383,-0.2371134020618556,0.1304347826086955,-0.6344827586206896,-0.6160337552742616,-0.6981132075471699,-0.6656151419558359,-0.5187713310580206,-0.5447154471544715,-0.9853479853479852,-0.4978601997146933,3,131,0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,71.23236487060981
3,3,119,-0.0631578947368416,-0.3794466403162054,0.1122994652406415,0.3814432989690723,-0.3913043478260869,-0.8827586206896552,-0.6835443037974684,-0.4716981132075472,-0.7350157728706624,-0.2457337883959045,-0.7073170731707317,-0.934065934065934,-0.5977175463623395,3,133,0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,70.93321834173803
4,11,127,0.0,-0.1818181818181816,0.4331550802139039,0.0721649484536084,-0.4347826086956522,-0.6137931034482758,-0.9324894514767932,0.509433962264151,-0.7854889589905363,-0.4334470989761093,-0.5284552845528454,-0.238095238095238,-0.5406562054208274,3,141,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68.62228364575225
6,13,129,0.3105263157894735,-0.0395256916996047,0.4545454545454548,0.329896907216495,-0.4130434782608695,-0.6068965517241378,-0.9240506329113924,0.3962264150943395,-0.9116719242902208,-0.4761092150170649,-0.3333333333333332,-0.4212454212454212,-0.6547788873038516,3,143,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,64.13438518820072
5,12,128,0.226315789473684,-0.2806324110671936,0.0588235294117647,-0.0309278350515462,-0.5869565217391304,-0.710344827586207,-0.9324894514767932,-0.0943396226415095,-0.8548895899053628,-0.2627986348122868,-0.6422764227642277,-0.1208791208791207,-0.2838801711840228,3,142,0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,63.64992486673642
7,2,118,-0.0263157894736836,-0.1106719367588932,0.1122994652406415,-0.0309278350515462,-0.2608695652173913,-0.7793103448275862,-0.628691983122363,-0.5849056603773586,-0.7350157728706624,-0.2969283276450511,-0.5772357723577235,-0.8901098901098902,-0.6405135520684736,3,132,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,62.9553517675195
9,10,126,-0.0473684210526315,-0.1225296442687747,0.3368983957219249,0.3814432989690723,-0.3260869565217391,-0.0758620689655172,-0.890295358649789,0.509433962264151,-0.7476340694006309,-0.3788395904436861,-0.3333333333333332,-0.3553113553113554,-0.5549215406562054,3,140,0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58.53676833234495
8,17,133,0.5000000000000004,0.6996047430830039,-0.0695187165775401,-0.0309278350515462,-0.782608695652174,-1.0,-1.0,0.0188679245283018,-0.8296529968454258,-0.3822525597269625,-0.8373983739837398,-0.956043956043956,-0.8045649072753209,3,147,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,58.17049959332343
11,24,140,-0.1842105263157892,-0.7826086956521738,-0.2085561497326202,-0.0309278350515462,-0.2826086956521739,-0.6551724137931034,-0.8987341772151899,0.509433962264151,-0.3753943217665615,0.0784982935153582,-0.8373983739837398,-0.7948717948717948,-0.4835948644793152,3,155,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,57.85278171340758
10,4,120,-0.1210526315789475,0.1106719367588933,0.0695187165775399,0.1237113402061858,-0.217391304347826,-0.503448275862069,-0.6371308016877637,-0.8490566037735849,-0.7287066246056783,-0.3651877133105803,-0.5121951219512194,-0.9853479853479852,-0.5406562054208274,3,134,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,56.87762460725674
12,7,123,-0.357894736842105,0.5731225296442688,0.2620320855614972,0.0721649484536084,-0.5869565217391304,-0.7241379310344829,-0.9451476793248944,0.509433962264151,-0.7539432176656151,-0.5614334470989761,-0.5609756097560975,-1.0,-0.369472182596291,3,137,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,55.53003586745754
13,9,125,0.2947368421052634,0.1264822134387351,-0.1122994652406418,-0.0824742268041236,-0.6086956521739131,-0.5586206896551723,-0.940928270042194,0.6981132075471697,-0.7034700315457413,-0.2457337883959045,-0.4634146341463413,-0.5970695970695971,-0.5691868758915835,3,139,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,50.38684962426026
14,22,138,0.094736842105263,-0.541501976284585,0.4866310160427807,0.5360824742268042,0.0,-0.1586206896551723,-0.6033755274261603,-0.5094339622641509,-0.2744479495268137,-0.0068259385665531,-0.7886178861788617,-0.956043956043956,-0.7902995720399429,3,153,0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,49.91661736659117
15,31,147,0.015789473684211,0.0711462450592885,0.0588235294117647,-0.1855670103092782,-0.217391304347826,-0.7172413793103449,-0.8481012658227849,0.0188679245283018,-0.6656151419558359,-0.3174061433447099,-0.6747967479674796,-0.6483516483516484,-0.4336661911554922,3,163,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,49.781611813362346
16,6,122,-0.1736842105263157,-0.3201581027667983,-0.1016042780748661,-0.1855670103092782,-0.4782608695652174,-0.5586206896551723,-0.8649789029535865,0.8867924528301885,-0.6656151419558359,-0.0068259385665531,-0.5934959349593496,-0.7728937728937728,-0.4051355206847361,3,136,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,49.712876516619076
17,30,146,-0.0421052631578947,2.220446049250313e-16,0.304812834224599,0.1752577319587629,-0.217391304347826,-0.5379310344827586,-0.890295358649789,0.7735849056603772,-0.6529968454258674,-0.2662116040955632,-0.3658536585365853,-0.3846153846153847,-0.5834522111269616,3,162,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,49.48045147216392
18,16,132,0.1210526315789475,0.1185770750988144,-0.1550802139037435,0.0721649484536084,-0.3043478260869565,-0.6413793103448275,-0.9113924050632912,0.1320754716981131,-0.4384858044164037,-0.5358361774744028,-0.8048780487804879,-0.6996336996336997,-0.2125534950071327,3,146,0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46.90603292845972
19,28,144,-0.3,0.2213438735177866,0.0909090909090908,0.0721649484536084,-0.6086956521739131,-0.0896551724137931,-0.7552742616033755,0.3962264150943395,-0.6025236593059936,0.0870307167235493,-0.8699186991869917,-0.7728937728937728,-0.6547788873038516,3,160,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,46.34536090496758
20,14,130,0.3631578947368417,0.6640316205533598,0.0588235294117647,-0.0309278350515462,-0.5217391304347826,-0.2965517241379309,-0.8059071729957806,0.283018867924528,-0.6151419558359621,-0.4675767918088737,-0.3008130081300811,-0.4285714285714287,-0.6119828815977175,3,144,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,41.77767887827736
21,33,149,0.4210526315789475,0.4308300395256919,-0.0374331550802141,0.2268041237113403,-0.6086956521739131,-0.7931034482758621,-0.9451476793248944,0.471698113207547,-0.5331230283911672,-0.0887372013651878,-0.5121951219512194,-0.6483516483516484,-0.6547788873038516,3,165,0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,38.74193610960547
22,8,124,-0.2105263157894737,0.8853754940711462,0.3689839572192515,0.4845360824742268,-0.4347826086956522,-0.4413793103448276,-0.890295358649789,0.8867924528301885,-0.5646687697160881,-0.3651877133105803,-0.4471544715447154,-0.6923076923076923,-0.6619115549215406,3,138,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,38.159316825693104
23,18,134,-0.0315789473684212,0.5296442687747036,0.1978609625668448,0.1237113402061858,-0.6521739130434783,-0.503448275862069,-0.869198312236287,0.283018867924528,-0.7160883280757098,0.0870307167235493,-0.9024390243902438,-0.5677655677655677,-0.5049928673323822,3,148,0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,36.816594956779376
24,29,145,0.3999999999999999,-0.0039525691699605,0.2620320855614972,-0.0309278350515462,-0.1956521739130434,-0.4137931034482758,-0.9071729957805909,0.3962264150943395,-0.7539432176656151,-0.2150170648464164,-0.2195121951219512,-0.5970695970695971,-0.4265335235378031,3,161,0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,35.33033266561171
25,32,148,0.4473684210526314,-0.2015810276679842,0.0053475935828875,0.1752577319587629,-0.5652173913043479,-0.7448275862068965,-0.8565400843881856,0.0566037735849054,-0.6088328075709779,0.4163822525597269,-0.6422764227642277,-0.6996336996336997,-0.5192582025677603,3,164,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,32.95781446651861
26,34,150,-0.057894736842105,0.0395256916996047,0.0053475935828875,-0.0824742268041236,-0.6086956521739131,-0.6551724137931034,-0.8649789029535865,0.0188679245283018,-0.6466876971608833,0.5324232081911262,-0.6097560975609756,-0.6483516483516484,-0.4194008559201141,3,167,0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,30.549192292097768
27,21,137,-0.0736842105263161,-0.2371541501976284,0.1978609625668448,0.1752577319587629,-0.0869565217391304,-0.6551724137931034,-0.569620253164557,-0.5849056603773586,-0.4637223974763406,0.6245733788395906,-1.0,-0.8534798534798536,-0.7118402282453637,3,152,0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,29.825706981067984
28,15,131,-0.357894736842105,0.2411067193675888,-0.1016042780748661,-0.1855670103092782,-0.0869565217391304,-0.7241379310344829,-0.8143459915611815,-0.3962264150943397,-0.5394321766561514,0.18259385665529,-0.7235772357723577,-0.4652014652014652,-0.1768901569186876,3,145,0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,26.027834882389723
29,38,154,0.6473684210526316,-0.3003952569169961,0.1978609625668448,-0.0309278350515462,-0.5434782608695652,-0.5172413793103449,-0.8481012658227849,0.1698113207547169,-0.4763406940063091,0.4368600682593855,-0.7723577235772358,-0.6776556776556777,-0.4550641940085592,3,172,0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,24.897201908238653
30,20,136,0.3,-0.0592885375494071,0.3475935828877006,0.3814432989690723,0.1521739130434782,-0.710344827586207,-0.4810126582278481,-0.6603773584905661,-0.4700315457413249,0.2491467576791808,-0.8211382113821138,-0.978021978021978,-0.6833095577746078,3,151,0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,22.85207867010759
31,35,151,0.3421052631578949,-0.2727272727272726,0.4224598930481282,0.4329896907216497,-0.2391304347826086,-0.6068965517241378,-0.7890295358649789,-0.0188679245283018,-0.2870662460567822,0.2593856655290101,-0.5772357723577235,-0.6117216117216118,-0.3266761768901569,3,168,0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,22.600018283257498
32,26,142,0.4789473684210525,0.3359683794466404,0.0909090909090908,-0.0824742268041236,-0.5869565217391304,-0.4344827586206896,-0.7932489451476794,0.320754716981132,-0.2744479495268137,0.3191126279863479,-0.853658536585366,-0.728937728937729,-0.7118402282453637,3,157,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,21.924544159214683
33,40,156,0.2473684210526319,0.2529644268774704,0.1978609625668448,0.2783505154639176,-0.3043478260869565,-0.4344827586206896,-0.8270042194092827,0.1320754716981131,-0.3690851735015773,0.0273037542662115,-0.6422764227642277,-0.7875457875457875,-0.3266761768901569,3,174,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,20.143287663439988
34,19,135,0.0789473684210528,0.24901185770751,0.0695187165775399,0.1237113402061858,-0.0652173913043477,-0.703448275862069,-0.5569620253164558,-0.2075471698113207,-0.5394321766561514,0.3856655290102391,-0.853658536585366,-0.956043956043956,-0.6119828815977175,3,150,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,16.766722623454264
35,27,143,0.2894736842105265,-0.6324110671936759,0.3689839572192515,0.2268041237113403,-0.5869565217391304,0.1172413793103448,-0.679324894514768,0.471698113207547,0.1861198738170348,0.7866894197952219,-0.853658536585366,-0.6263736263736264,-0.5121255349500713,3,159,0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,15.556718216309974
36,36,152,0.2473684210526319,0.5256916996047429,0.6042780748663099,0.4845360824742268,-0.0869565217391304,-0.3103448275862068,-0.7383966244725739,-0.4716981132075472,-0.558359621451104,0.2320819112627985,-0.6910569105691056,-0.523809523809524,-0.4978601997146933,3,169,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,11.965740857416359
37,42,158,0.1263157894736843,-0.2687747035573122,0.0802139037433156,-0.0309278350515462,0.0869565217391303,-0.5379310344827586,-0.8565400843881856,0.509433962264151,-0.3375394321766561,0.3686006825938568,-0.8048780487804879,-0.7435897435897435,-0.1982881597717546,3,176,0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,8.422675287357603
38,25,141,0.1263157894736843,0.7588932806324113,0.0267379679144383,0.1752577319587629,-0.5,-0.4758620689655172,-0.8776371308016878,0.811320754716981,-0.280757097791798,0.129692832764505,-0.8048780487804879,-0.8461538461538461,-0.3623395149786019,3,156,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,7.952657447072738
39,43,159,0.6315789473684215,0.3280632411067192,0.4759358288770055,0.4329896907216497,-0.4347826086956522,-0.2620689655172414,-0.8227848101265823,0.6226415094339623,-0.4069400630914825,0.3515358361774741,-0.7886178861788617,-0.7582417582417582,-0.5977175463623395,3,177,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,7.835471417369753
40,23,139,0.1578947368421055,0.0118577075098813,-0.0160427807486633,-0.1855670103092782,-0.3913043478260869,-0.4344827586206896,-0.7932489451476794,0.811320754716981,-0.0788643533123026,0.5767918088737201,-0.8699186991869917,-0.8241758241758241,-0.4336661911554922,3,154,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,6.795567623939174
41,39,155,0.4105263157894743,0.940711462450593,0.1657754010695189,0.020618556701031,-0.4565217391304348,-0.5172413793103449,-0.8860759493670887,0.471698113207547,-0.5899053627760251,0.0955631399317404,-0.7398373983739837,-0.6556776556776557,-0.3409415121255349,3,173,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,4.300728607233795
42,41,157,0.1789473684210525,0.399209486166008,-0.0374331550802141,-0.0309278350515462,0.0869565217391303,-0.5793103448275861,-0.8523206751054853,0.1320754716981131,-0.4069400630914825,0.5221843003412969,-0.8211382113821138,-0.7875457875457875,-0.2054208273894436,3,175,0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-10.548732127848822
43,0,116,0.7421052631578946,-0.6284584980237153,0.4331550802139039,0.4845360824742268,-0.3913043478260869,0.2551724137931033,-0.5907172995780591,0.509433962264151,0.4447949526813881,1.0,-0.853658536585366,-0.4945054945054945,-0.4550641940085592,3,130,0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-11.588735640691679
