,class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,N,Scalar_calc
0,d ,-2736,-4440,-5400,-1507,-300,-622,5700,-6360,-5480,2612,3844,5220,1905,711,1527,-2678,4874,4400,-3300,-2688,-2368,-1305,-2592,-3828,-2824,-3240,-4152,24,1151871783.5294125
1,d ,-1824,-5040,-5616,-3014,600,-1555,2850,-6360,-5480,1564,4264,5364,2600,-228,2286,-1357,4946,4460,-2348,-3164,-4656,-326,-3984,-4872,-2260,-3501,-4128,21,759358221.4117653
2,d ,-3420,-5040,-5616,-1644,-2100,-933,1520,-6625,-6576,3886,4527,5713,1641,2262,1176,-427,4810,4874,-4188,-1337,-840,-945,-2160,-1716,-3060,-1413,-2416,146,414468008.9411771
3,d ,-2964,-4920,-5616,-3425,-2100,-1866,1140,-6890,-6850,2958,4181,5268,3326,2391,2463,-278,5186,5278,-3200,-2478,-2664,-1884,-2328,-3624,-2772,-2223,-3096,50,407155781.4117655
4,d ,-2736,-5160,-5940,-1370,-2100,-1244,3420,-6095,-5480,2790,4403,5710,1677,2520,2196,-1504,4484,4192,-3132,-2429,-2160,-1350,-2232,-3720,-3036,-2457,-3456,4,346023114.41176534
5,d ,-4560,-6480,-6804,-1781,-2700,-622,1900,-6625,-6028,5008,5883,6998,1816,2864,951,-526,4776,4452,-4452,-1862,-1520,-864,-2256,-1884,-3420,-1431,-2408,164,338760805.2941183
6,d ,-2964,-5160,-5616,0,-2400,311,2470,-6625,-5754,2724,4545,5627,278,2613,-6,-1418,5006,4394,-1972,-3276,-2896,-197,-2352,-1980,-563,-2304,-2695,110,281089514.76470643
7,d ,-3420,-5520,-5184,-822,-3000,-933,190,-6890,-7398,3868,4850,5169,1287,3120,1161,269,4970,5410,-4124,-1092,-296,-1773,-2280,-2268,-3180,-1395,-2208,169,201557462.1176479
8,d ,-1368,-5040,-5616,-2192,600,-311,950,-6095,-5206,1470,4164,5342,1948,-231,1224,-414,4266,3782,-2376,-1302,104,-1194,-2088,-2460,-1584,-594,-1280,45,174357247.17647117
9,d ,-5244,-6120,-6480,548,-3900,-311,-1900,-7155,-6576,5282,5367,6438,189,4074,630,1264,5248,4876,-3928,-2086,-2920,-1968,-2951,-3084,-2896,-1817,-2512,149,140755015.6470595
10,d ,-3420,-5280,-5940,-3562,-2400,-3732,5130,-6360,-5754,2414,4276,5265,3014,2418,3534,-2907,4552,4104,-2452,-1708,-1920,-972,-2232,-3024,-1096,-270,-1056,177,136385416.4705891
11,d ,-4332,-4920,-5184,-4795,-3000,-3732,-1330,-6890,-6576,3586,4227,5115,3912,3366,4446,768,5258,5186,-2056,-3248,-5384,39,-3264,-4524,-1708,-2835,-3808,28,97631479.0588244
12,d ,-2508,-4800,-5724,-1096,-1800,-933,2090,-6360,-6302,1928,3974,5312,990,2076,1410,-1312,4476,4532,-1848,-1708,-1208,-951,-1968,-2028,-880,-1034,-1632,41,66160666.294118285
13,o ,-2052,-5520,-5184,137,-600,1866,-760,-5830,-4384,1928,4801,5147,-112,732,-1629,388,4136,3160,-2972,-1603,-1304,-255,-1536,-924,-1699,-1179,-1776,122,64252060.7647063
14,o ,-1140,-4800,-5400,-2055,300,-311,-1710,-3710,-2466,906,4085,5272,1841,111,1215,985,2930,2262,-1764,-3010,-4808,-249,-3816,-4728,-2616,-4058,-4720,12,37754756.0588239
15,d ,-2736,-5760,-5832,3014,-3900,311,3040,-6890,-6576,3054,5179,6091,-1957,4167,186,-1531,5122,4950,-3316,-3185,-4064,-129,-2592,-2184,-1427,-1935,-2512,129,-13046166.705881774
16,d ,-1140,-4560,-5400,411,-2400,-1866,5890,-6625,-5480,678,3888,4910,332,2655,2106,-3069,5142,4330,-1540,-2058,-768,-1266,-2424,-2316,-1696,-2511,-2928,100,-16630674.235293344
17,d ,-2736,-6000,-6480,-822,-1500,-1244,950,-6890,-6850,3330,5324,6507,1017,1647,1440,-93,4980,5056,-4060,-854,-232,-465,-1392,-996,-2816,-783,-2080,153,-38459154.29411694
18,d ,-3648,-5400,-5940,-822,-1800,-933,1520,-6360,-6028,2674,4492,5450,741,1920,900,-1219,4654,4444,-412,-1610,-471,153,-1464,-420,840,-1719,-1864,81,-41136813.58823473
19,o ,-1824,-3240,-4104,4247,-3900,0,8170,-3445,-822,1366,2819,3852,-2603,4149,327,-4353,2638,826,-760,-2520,-776,-411,-2640,-2052,-440,-2313,-2608,92,-44147396.882352784
20,d ,-3192,-5040,-5940,-959,-2400,-3110,3420,-6625,-5480,2570,4285,5419,1329,2631,3309,-1763,5064,4270,-1688,-1911,-648,-1083,-2040,-2087,-1520,-2060,-2472,86,-67570414.05882272
21,d ,-5700,-6600,-6696,-2603,-3600,-3110,-1520,-7155,-7124,5215,5568,6211,2649,3846,3489,1045,5414,5482,-2792,-2408,-2136,-1623,-2088,-2880,-2236,-2196,-2960,57,-71543199.58823429
22,d ,-1596,-4920,-5724,-1918,-2400,-3732,3610,-6360,-6028,1192,3837,5013,1502,2418,3614,-1765,4584,4406,-3800,-2429,-3680,-714,-3528,-4008,-2100,-1089,-1792,158,-103870254.41176371
23,d ,-2508,-4920,-5832,-2603,-1800,-2799,2850,-6625,-6302,1596,3988,5121,2011,1938,2685,-1731,4946,4730,-1364,-1148,-1072,249,-2160,-1836,-172,-1098,-1912,94,-122990054.2352934
24,d ,-684,-2760,-3024,-3151,-2400,-3110,570,-6890,-6028,96,2048,2526,2444,2445,3099,-252,5066,4480,-2292,-2296,-2944,663,-2784,-3300,-612,-1305,-2008,194,-154919383.99999934
25,d ,-4560,-5520,-5832,-1096,-4200,-3110,-950,-6890,-6576,4299,4726,5533,1669,4575,3839,876,5262,5170,-2960,-2758,-2392,-1524,-2544,-3720,-2868,-2835,-3696,34,-172162948.94117546
26,d ,-3648,-6240,-6588,-1644,-3600,-2488,190,-6890,-6850,3752,5342,6319,1952,3689,2562,184,4970,4988,-3904,-1617,-1760,-2556,-2927,-3156,-3104,-1296,-2056,179,-185171693.23529312
27,d ,-1824,-5040,-5724,-1370,-1800,-933,950,-6360,-6028,1596,4270,5327,1612,2046,1302,-427,4756,4598,-644,-2303,-680,-558,-2184,-1680,-468,-2024,-2384,67,-209285104.8235289
28,d ,-3648,-6240,-6480,-2877,-3300,-3421,950,-6890,-6302,3352,5266,6000,2812,3537,3756,-289,5212,4878,-2564,-2394,-1879,-1494,-2112,-2748,-2072,-2223,-2952,60,-298549143.0588228
29,d ,-5016,-6480,-6588,1096,-4200,-622,-950,-6890,-6850,5052,5631,6448,-622,4289,660,722,4946,4992,-3652,-1029,216,-320,-1248,-552,-2308,-1025,-1944,138,-318313604.7647052
30,o ,-456,-5280,-5724,-411,300,1555,-2850,-4505,-3562,1276,4718,5835,626,-162,-1215,1851,3114,2586,-3736,-826,64,-129,-1344,-912,-2544,-558,-1800,154,-406089932.5882351
31,d ,-5244,-5400,-5292,-4384,-4200,-4976,-1520,-6625,-7124,3696,4280,4552,3272,4251,4698,582,4812,5156,-2476,-1736,-3200,453,-2496,-2532,-824,-801,-1264,161,-423241004.5294106
32,d ,-6384,-6240,-6156,-3836,-4200,-4354,-3800,-7420,-7672,5006,5196,5487,3231,4410,4347,1932,5654,5822,-1376,-1617,-728,-927,-2472,-2291,-1424,-1845,-2463,107,-434674984.1764696
33,d ,-3420,-5280,-5832,274,-3600,-1555,4180,-6095,-4658,2874,4402,5555,-166,3999,2346,-2402,4302,3390,-1284,-1302,1304,48,-1680,-1140,-84,-503,-920,46,-438601148.2352935
34,d ,-3648,-5280,-6048,-3562,-3300,-3732,-190,-6890,-6850,2308,4202,5250,2682,3377,3498,-132,5004,4938,-2128,-1820,-2560,486,-2664,-2424,-640,-972,-1376,155,-452642950.11764616
35,d ,-3192,-5400,-5940,-1781,-3000,-1244,-760,-6890,-6302,2632,4624,5761,1115,3219,1506,116,4924,4560,-1816,-2198,-1616,306,-1800,-1056,-100,-1007,-1472,87,-458283438.1176463
36,d ,-2964,-5520,-5940,274,-3000,-1244,950,-6360,-6028,2326,4656,5659,-383,3227,1518,-862,4504,4344,-1604,-1953,-1024,216,-1920,-1116,-28,-1016,-1512,80,-484826440.8235286
37,d ,-4332,-6360,-6372,-685,-4800,-2799,-190,-6625,-5754,3924,5335,6034,1003,5220,3645,166,4742,4238,-2812,-2436,-2416,-1629,-2784,-3828,-2220,-1620,-2599,27,-564263894.705881
38,d ,-6612,-6480,-6696,137,-4800,-1555,-1710,-6625,-5754,5414,5419,6372,-132,5292,2511,616,4726,4230,-1540,-1519,-168,89,-1872,-1824,-56,-423,-1216,40,-596053042.4117639
39,d ,-3192,-3720,-3348,-5206,-4800,-5909,-2280,-7155,-6850,2330,2827,2795,3903,4809,5703,1248,5212,5036,-2772,-2310,-3040,153,-3024,-3384,-1027,-1143,-1880,193,-611307358.2941165
40,o ,-5472,-5880,-6372,-2329,-2400,-2799,-1140,-5565,-3836,3656,4744,5661,1083,2304,2094,-453,3740,2492,-967,-840,-624,618,-672,684,1564,-846,-896,61,-613324971.8235288
41,d ,-5472,-6360,-6480,-685,-4200,-622,-4180,-6360,-6028,4265,5308,6172,345,4980,2049,2021,4630,4642,-2320,-1309,-856,-93,-3192,-3239,-1104,-360,-2016,30,-644663647.8235284
42,s ,-2964,-7800,-7560,-2740,-3300,-2799,-4750,-7155,-6576,3456,6844,7528,2501,3447,2981,2889,5164,4828,-3964,167,736,-4761,-5111,-5448,-5344,-2664,-3000,190,-785218895.470587
43,d ,-3648,-5640,-5940,-1507,-4800,-3110,-1330,-6890,-6850,2376,4633,5281,1384,4902,2967,418,5012,4926,-2092,-1596,-1304,-969,-2568,-2891,-1444,-477,-1200,145,-816355169.3529404
44,d ,-2508,-3600,-3780,-3836,-3000,-5287,-1520,-7155,-7124,-40,2684,3014,2948,2988,4869,82,5180,5086,1584,-1414,-1368,804,-1944,-2064,2064,-1593,-1696,186,-853607033.3529404
45,o ,1140,-6240,-6480,-411,-1500,0,2850,-5830,-3014,-86,5552,6541,705,1644,258,-1095,4160,2234,-4008,-938,-360,-366,-1440,-1032,-2812,-792,-2031,157,-902574092.6470582
46,s ,-2964,-7920,-7560,-2329,-4800,-3421,-4560,-7685,-6850,3516,6953,7527,2381,4956,3585,2852,5588,5046,-3456,-280,-576,-2556,-5040,-3828,-4024,-2925,-3544,185,-1246262503.6470578
47,h ,2736,-7200,-6912,959,-4500,-933,1710,-6095,-4384,-1178,6641,7528,182,5334,2247,-720,5420,4242,-3776,-5530,-7432,-1467,-6840,-5604,-1384,-5976,-5976,134,-1383943896.647058
48,s ,-2280,-7560,-7452,-2603,-4200,-2488,-570,-6625,-5754,2996,6776,7590,2421,4362,2742,773,4760,4240,-4896,280,80,1701,-96,408,-2676,-1170,-2304,174,-1412928687.3529403
49,s ,-2280,-7680,-7560,-2740,-4200,-3732,-1900,-6625,-5480,3094,6961,7774,2553,4380,4008,1576,4756,4052,-4624,-1449,-2120,191,-2496,-1344,-3204,-1287,-2208,167,-1456313244.823528
50,s ,-4104,-7320,-7128,-4521,-5700,-6220,-2660,-6890,-6302,3162,6118,6491,3687,5925,6318,1407,5228,4880,-6744,112,-2096,129,-1776,-4140,-5036,792,168,51,-1502888958.5294104
51,h ,912,-6840,-6480,-685,-4500,-4665,2470,-6890,-5480,-1948,6241,5933,2134,4692,4392,-1648,6284,5200,-124,-5495,-2279,-4071,-2112,-1044,208,-6354,-6128,83,-1649524021.647058
52,h ,3648,-6960,-6696,-137,-3900,-3421,3610,-6625,-4384,-3596,6640,6508,2269,4455,4164,-1146,5850,4130,-1644,-7441,-5240,-5019,-4320,-4380,-3836,-5157,-4840,53,-1652076485.941174
53,s ,-1140,-7800,-7560,-1918,-6300,-4354,-1330,-6625,-5754,2148,7120,8105,2037,6936,5358,842,5424,4844,-2431,-5614,-7128,270,-4440,-4020,-264,-4194,-4104,130,-1857951474.0588224
54,s ,-3420,-7800,-7560,-3562,-5400,-5909,-4560,-6890,-6576,2424,6538,6903,3050,5610,5898,2256,5202,4962,-2304,-966,-1824,-2406,-744,-3276,-1480,-2619,-2912,120,-1872716987.6470573
55,s ,-1824,-7560,-7452,-2329,-4800,-3110,-3420,-6625,-6028,2516,6564,7331,2069,4929,3171,2191,4772,4448,-4024,-315,288,-228,312,-131,-2396,189,-1384,147,-1916356591.35294
56,s ,-2964,-7560,-7668,-2740,-6000,-4976,-3610,-6625,-5754,3402,6389,7328,2779,6483,6024,2312,4736,4244,-4968,-1666,-1576,-1380,-144,-2160,-3172,-189,-2160,6,-1964760160.0588224
57,s ,-1368,-7560,-7452,-2192,-4800,-2799,-3230,-7155,-5754,2094,6635,7479,1919,4953,3060,2039,5098,4170,-3028,-889,168,405,-1272,-192,-2084,-477,-1584,156,-1985134643.0588224
58,h ,2280,-7440,-7128,274,-6000,-4354,2470,-6890,-5480,-2018,6360,6628,1479,6285,4227,-973,5172,4048,-3396,-4018,-3752,-5115,-5304,-4044,-3232,-1872,-2088,195,-2049595230.470588
59,s ,-3876,-7920,-7884,-2192,-6300,-4665,-2090,-6890,-5754,2886,6697,7272,2024,6519,4722,930,5244,4396,-1288,-1680,864,1365,384,852,-2480,-2538,-3944,116,-2060624342.35294
60,o ,-3876,-5160,-5832,-8083,-5400,-7153,-6460,265,0,3022,4149,5084,5892,5493,6846,3351,-342,58,-2288,-2485,-2464,336,-3264,-3072,-644,-1404,-2024,56,-2102169927.1176467
61,s ,-1368,-7680,-7452,-2055,-6300,-5598,-2470,-6625,-5754,1758,6459,6943,2460,6573,6027,1694,5008,4498,-3276,-2387,-2744,-1419,-984,-2891,-1899,-1835,-2472,52,-2242481840.058822
62,s ,-684,-7560,-7344,-1918,-5700,-4354,-1330,-6890,-6028,1244,6595,7319,1992,5916,4614,924,5104,4526,-2212,-2170,-2416,1068,-1392,-1452,32,-945,-1792,140,-2269129343.823529
63,h ,3876,-7440,-6912,822,-4200,-1866,950,-6890,-4658,-2264,6785,7191,40,4401,2250,191,4940,3468,-4712,-2107,-2168,-735,-2472,-1896,-4048,-1215,-2392,165,-2279986441.0588226
64,h ,1140,-7560,-7128,137,-5700,-2799,-380,-6095,-3836,-1412,6484,7165,-149,6285,4167,-45,4216,2958,-1600,-3409,-6504,1161,-4656,-6600,-784,-1134,-3120,19,-2352864026.2352934
65,s ,-2280,-7560,-7452,-2192,-5700,-3732,-4180,-6890,-6028,1802,6419,7166,1439,5958,4020,1963,4916,4366,-1664,-1162,608,63,-360,-264,548,-207,-560,79,-2400558594.588234
66,s ,-3192,-7440,-7344,-3699,-5700,-4976,-5130,-6095,-4932,2214,6211,6973,2561,6435,6207,2428,4398,3780,-4700,-567,-984,-885,1368,-528,-1704,999,-1000,22,-2434449924.7647047
67,h ,2052,-7560,-7128,822,-6600,-4043,570,-6625,-4384,-928,6198,6622,-356,6885,4635,55,4774,3448,-4728,-2016,-5080,-552,-4248,-5820,-2484,-909,-2504,69,-2436090746.6470566
68,h ,228,-7560,-7128,-959,-6000,-5287,760,-6890,-5206,-1550,6214,6344,1420,6357,5529,-1296,4878,3580,-12,-1666,-1752,-1932,-4560,-4212,2660,135,-360,103,-2602024476.8823514
69,h ,3648,-7560,-7128,1233,-4800,-2177,950,-6625,-4658,-2240,6655,7222,-604,5001,2622,-165,4608,3298,-3884,-1134,-440,-122,-1920,-1836,-2540,-153,-1456,148,-2652845306.999999
70,h ,1596,-7560,-7236,274,-6600,-4665,190,-7155,-5206,-1778,6241,6588,83,6627,4737,-298,5238,3762,-2816,-1785,-1640,-1677,-2784,-4524,-2052,-1197,-1896,151,-2657298509.1176453
71,h ,228,-7560,-7236,137,-7200,-6531,380,-6890,-5754,48,5941,6123,162,7239,5937,83,4886,4118,-3132,-616,-416,-618,-2856,-1680,-1627,-495,-1136,105,-2764340843.0588217
72,s ,-2736,-6840,-6696,-2603,-1500,-2488,-1140,-5035,-3288,950,6083,6138,1993,1914,2772,344,3870,2454,1028,7441,7432,4626,8064,7608,-640,7965,7448,123,-2772637213.2352934
73,h ,912,-7680,-7344,-137,-6600,-5287,380,-7155,-5206,-1521,6206,6479,158,6405,4926,-624,4954,3554,-2244,-1281,-848,-525,-1128,-3168,-520,216,-936,173,-2853713823.647057
74,h ,1140,-7440,-6912,-548,-6300,-3732,-1520,-6095,-4110,-1548,6204,6571,137,7278,5217,733,4542,3474,-2768,-1148,-928,108,-3936,-3384,-1735,-477,-2799,25,-2887155766.35294
75,h ,-228,-7680,-7236,-411,-6300,-3732,-190,-6360,-4110,-948,6429,6883,90,6906,4956,-984,4396,2812,-132,-1771,-872,687,-2448,-3191,3060,225,-480,23,-2895518113.9999986
76,h ,684,-7680,-7236,-548,-6000,-4043,-2090,-6890,-5206,-1586,6501,6944,-491,6093,3987,488,4768,3504,-2076,-1708,-2488,966,-1704,-1296,-612,-1025,-1080,109,-2907061556.9411764
77,h ,-2964,-7920,-7560,-822,-6600,-5909,-3420,-7420,-6576,1148,6410,6723,-1096,6192,4563,-16,4796,4032,-1572,-742,-592,2628,864,1716,3384,441,640,64,-2940870311.4705863
78,h ,-684,-7680,-7236,-1233,-6900,-4665,-2280,-6890,-5480,-979,6298,6465,217,7059,4427,512,5018,4024,-656,-1393,-1936,2601,-2592,-2291,1148,-225,-1032,58,-2959227316.058822
79,h ,684,-7560,-7020,-411,-6900,-5598,-380,-7155,-5480,-970,6086,6172,81,6831,5016,-1,5144,4052,-2095,-616,-864,861,-984,-852,-264,27,-1360,102,-3004252599.9999986
80,h ,-912,-7680,-7344,-1781,-7200,-6220,380,-6890,-5754,-1950,6070,6265,1517,7149,5544,-1394,4898,3886,2440,-1407,-1008,537,-1752,-1200,3924,-1089,-832,188,-3095562888.764704
81,h ,2736,-7080,-7020,-548,-4800,-4665,760,-6625,-4932,-3926,6440,6508,858,5583,5355,-532,5344,3714,568,-1876,3824,555,-3240,-1608,-816,1917,1104,126,-3316224701.411764
82,h ,2508,-7680,-7236,274,-5700,-4665,-570,-7155,-5754,-1918,6537,6787,-438,5445,3843,494,4882,3892,-2784,35,3008,1209,1800,2568,-2032,504,-616,141,-3371951586.529411
83,s ,228,-7680,-7236,0,-5700,-3110,-1520,-6890,-4384,-188,6387,6845,79,6066,3801,655,4888,3176,3640,-602,3352,3210,-672,2832,3244,-261,1104,49,-3376447452.705881
84,s ,-228,-7680,-7236,-1233,-6300,-4354,-1140,-6095,-4932,-396,6415,6870,956,6819,5337,196,4300,3594,1460,-1680,176,4152,936,1248,3852,243,-120,33,-3392594024.35294
85,h ,0,-7800,-7344,-959,-7200,-6220,-1710,-7155,-6576,-1936,6127,6175,-59,6945,5154,62,5092,4604,236,-1169,-376,3636,-144,408,2080,-657,-1088,196,-3471664976.5294104
86,h ,2052,-7440,-7020,-822,-6300,-5287,-2280,-7155,-6028,-3398,6091,6158,-524,6420,4473,1304,5322,4572,444,-693,-319,3930,-1176,1464,-1463,585,-1424,114,-3669562118.35294
87,h ,684,-7440,-7128,-1918,-6600,-5598,-1330,-7420,-6028,-3418,6091,6171,944,6648,4920,-849,5524,4224,2904,-336,1472,2127,-408,972,4916,558,32,124,-3720024828.470588
88,h ,-456,-7320,-7128,-1507,-7200,-6531,-2850,-7420,-6302,-1890,5765,5908,-373,6750,4992,544,5298,4324,2260,-903,504,4719,1032,2172,3628,-720,-464,91,-3722203503.5294094
89,s ,2508,-7560,-7236,822,-6300,-4665,950,-7155,-5206,-2432,6369,6713,-126,6510,4760,-603,5382,3996,7616,-2226,408,6336,-1464,1752,7564,-1125,136,78,-3993193789.235293
